title,text,label
SHOCKING: Government puts chemicals in water supply to control population!,Scientists have conclusively proved that fluoride in water is a mind-control drug used by the government...,FAKE
"BREAKING: Moon landing was faked in Hollywood studio, insider reveals",A former NASA employee has come forward claiming the 1969 moon landing was staged by Stanley Kubrick...,FAKE
MIRACLE CURE: This one fruit destroys cancer cells overnight!,Big pharma doesn't want you to know but eating papaya seeds every night completely cures all cancers...,FAKE
"ALERT: 5G towers spread coronavirus, activists tear down towers",Multiple credible sources confirm that 5G radiation activates the COVID-19 virus in human cells...,FAKE
SECRET: Vaccines contain microchips for Bill Gates surveillance,Leaked documents show that COVID-19 vaccines contain nano-microchips that track your location 24/7...,FAKE
"WARNING: Eating ice cream causes immediate memory loss, study shows",Researchers at a famous university discovered that dairy products destroy short-term memory cells instantly...,FAKE
EXPOSED: All elections are rigged by a secret global elite,Whistleblowers reveal that voting machines in every country are programmed to give predetermined results...,FAKE
SCIENTISTS CONFIRM: The Earth is actually flat and governments hide truth,New photographic evidence from sailors confirms that ships do not disappear over any horizon curve...,FAKE
NASA confirms discovery of water ice on Moon's surface,NASA scientists announced the confirmed presence of water ice in permanently shadowed craters near lunar poles...,REAL
"Global temperatures reach record high in 2023, UN report says",The United Nations released a comprehensive climate report showing 2023 was the hottest year on record...,REAL
COVID-19 vaccine rollout reaches 5 billion doses worldwide,"According to WHO data, global COVID-19 vaccination campaigns have administered over 5 billion doses...",REAL
SpaceX successfully launches 60 Starlink satellites into orbit,SpaceX's Falcon 9 rocket successfully deployed another batch of Starlink internet satellites on Tuesday...,REAL
Scientists develop new battery technology that charges in 5 minutes,Researchers at Stanford University have published findings on a new lithium-ion battery that charges faster...,REAL
WHO declares end to COVID-19 as global health emergency,The World Health Organization officially declared an end to COVID-19 as a public health emergency of concern...,REAL
Electric vehicles now account for 15% of global car sales,International Energy Agency data shows electric vehicles reached 15% of all new car sales globally...,REAL
New species of deep-sea fish discovered in Pacific Ocean,Marine biologists exploring the Mariana Trench have discovered a new species of bioluminescent fish...,REAL
